(185012,0.15)
(185544,0.35356667899342226)
(41234,0.3525848899028692)
(143464,0.1586592310032496)
(28730,0.169855562475955)
(139526,0.16678092344557732)
(182316,0.17714468075383352)
(23776,0.19386278599269957)
(155312,0.15)
(108150,0.15566897081093978)
(153030,0.15268254716412252)
(5354,0.18512359665892564)
(38926,0.6688974262615968)
(29270,0.192075)
(161980,2.3056085484064104)
(185298,0.9499249503469158)
(175684,0.23314529355633717)
(72708,0.18729374999999998)
(134918,0.15)
(94950,0.15168179598447407)
(130670,0.15)
(20894,0.15)
(141064,0.15)
(361640,0.18527242607691521)
(362244,0.156559858820509)
(361018,0.1594512646485594)
(153304,0.15)
(131412,0.15)
(61462,0.15)
(146896,0.34561992300563377)
(14554,0.6533706550080398)
(107756,0.15984619335290148)
(103126,0.16050777743951525)
(116020,0.15)
(79852,0.31255800870894357)
(61948,0.33884683981256103)
(362028,0.1855580691906556)
(386216,2.8106757102810342)
(174946,0.17636597182671065)
(147144,0.15)
(176500,0.7162941224548869)
(92374,0.15265419134477873)
(169296,0.1536910453431993)
(182894,0.27749999999999997)
(80438,0.1682142857142857)
(182336,0.5593735263760147)
(55276,0.27942703109400646)
(176744,0.15)
(12420,0.17961211050433665)
(123786,0.20750924540778817)
(17430,0.2416891439061936)
(117066,0.1658274787558101)
(68438,0.15)
(28338,0.15)
(153908,0.15)
(189356,0.9062896169511276)
(186216,0.1684033822851337)
(163004,0.15769621340038098)
(54088,0.15)
(133894,0.1724558952390225)
(48948,0.15759316234799733)
(21834,0.15)
(187996,0.36866731595310026)
(41258,0.27749999999999997)
(28836,0.15)
(171214,0.3214518762927626)
(156596,0.162142639852237)
(133416,0.15)
(86110,0.18986982541369762)
(94322,0.27749999999999997)
(36398,0.15876417719759497)
(28704,0.15449307343665858)
(101810,0.1587361111111111)
(85638,0.29160237005362954)
(17396,2.534965606094079)
(23034,0.15)
(123590,0.1763323009269451)
(124224,0.2325914712836813)
(138156,0.5700333034761864)
(5898,0.15)
(101058,0.16107647875389366)
(42924,0.261916812079574)
(65590,0.2955362542718858)
(343436,0.1770554328731103)
(190424,0.21395926569391646)
(68592,0.15)
(129110,0.21520787539511563)
(190920,0.15)
(266,0.15)
(75254,0.15376775541305787)
(135304,0.2450660421749203)
(186398,0.15)
(133080,0.15)
(99352,0.15397476174358043)
(17476,0.16297420705628807)
(179056,0.2947686230248307)
(174402,0.9203561803841225)
(146488,0.15310975609756097)
(375736,0.666218192102156)
(179174,0.20901056938062873)
(134894,0.27433708938645146)
(12532,0.15444988857694275)
(171828,0.18060761861429353)
(146434,0.16661473283716677)
(60510,0.23761200544951006)
(34268,2.1141673718537035)
(150128,0.18044097133730305)
(369602,0.1553642297933248)
(20466,0.1645537032037743)
(41086,0.15159175147103066)
(2744,0.16527833454104)
(61154,0.33590172570372023)
(42148,1.0528922056555936)
(128836,0.27749999999999997)
(62472,0.15)
(171684,0.2913518422786161)
(126752,0.20143978454737038)
(22868,0.15481334219901294)
(130790,0.15)
(355086,0.15562460755743748)
(384420,0.274635769117549)
(128646,0.1686080896886925)
(134616,0.15)
(148550,0.21484921690335873)
(51542,0.15843172440029096)
(80540,0.1925)
(107392,0.1963023239582541)
(176240,0.16393442622950818)
(379414,0.9372568833340831)
(141078,0.38470537663821275)
(187434,0.15155912986253287)
(26990,0.26131984270822184)
(5688,0.1615909090909091)
(143390,0.16032427650302122)
(143092,0.15)
(378616,0.8122604851206735)
(184454,0.1884035684453316)
(364468,0.247445588972693)
(379590,0.7612569808625366)
(114506,0.1876203890296951)
(134608,0.15)
(383762,0.2813012857138527)
(58086,0.46919829427671633)
(37474,0.1586936429311486)
(38836,0.15)
(65806,0.15)
(182278,2.204271934611232)
(100772,0.15)
(5708,0.17785573432555002)
(171720,0.1616380432950339)
(34836,0.15)
(146888,0.16238795052268312)
(149972,0.15671052631578947)
(129384,2.053628441918671)
(386002,0.1929782914269551)
(64558,0.15108239709941684)
(111436,0.16049382716049382)
(363902,0.23039188885000028)
(116666,0.16529430945857465)
(114556,0.4897328651423042)
(189852,0.16455244615049525)
(116460,0.2260525447709183)
(114088,0.24289149324949108)
(157228,0.15)
(191054,0.17269894584731518)
(153762,0.486847656784261)
(377930,0.27749999999999997)
(77418,0.15843457569298375)
(43018,0.21856227765589809)
(152004,0.15)
(57106,0.17180593796774613)
(36522,0.15)
(363754,0.18544265422228043)
(24418,0.1761062282325737)
(78366,0.18976174974396953)
(127028,0.35461560616697996)
(118942,0.15689803221230805)
(166022,0.4175706154011384)
(148334,0.21098849423718127)
(9514,0.17816185457894412)
(54420,0.21562815594925167)
(90668,0.29904518581075884)
(156700,0.1967736308002711)
(127490,0.15)
(70638,0.2974789093600946)
(171282,0.19245824501358574)
(60186,1.882686558983324)
(369676,0.3464620213383215)
(175744,0.45541562123235246)
(144592,0.1937920713469258)
(368500,0.15)
(68542,0.17045170163147963)
(58258,0.5335224038825304)
(32420,0.6185127004546878)
(138032,0.15)
(71656,1.0023737249877347)
